variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost
360 Finance - bad4bd19-2845-48fb-b775-65ad044f1594 - 12 to 84,17.395,751.963763787602,0,45117.82582725612,767.0,45884.82582725612
ANZ - c8aae046-e882-44d9-9a62-47e406a03fb8 - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,750.0,39877.38536995108
Auswide Bank - edcbaebe-5b04-4c62-a05a-2a3229fda2bd - 12 to 84,9.5,630.0558392914712,0,37803.35035748828,475.0,38278.35035748828
Auswide Bank - fe44f1e9-1d34-493e-8f9b-cd44c4af446c - 12 to 84,6.99,593.8944258963024,0,35633.66555377815,475.0,36108.66555377815
Auswide Bank - b6569a50-113e-4b0a-a15e-448e5fccf2ac - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,475.0,39602.38536995108
Auswide Bank - 04017ee5-b8e6-4c6f-b02c-7a5ad8bc9ec7 - 12 to 84,9.99,637.2637391368502,0,38235.82434821101,475.0,38710.82434821101
Bank of us - 0b4a8349-4575-4c62-8add-c94ac94b47bf - 6 to 84,7.99,608.1482635424387,0,36488.895812546325,800.0,37288.895812546325
Bank of us - 7fc1cb18-b884-481a-810d-ba8ccb3caa73 - 6 to 84,5.22,569.1657361852721,0,34149.94417111632,800.0,34949.94417111632
Bank Australia - a818e94c-9542-4d59-81c5-1fed37b7ca25 - 0 to 120,11.89,665.6670306781218,0,39940.0218406873,150.0,40090.0218406873
BankSA - e7efba54-02f7-4982-840f-b158f4c4daec - 0 to 999,17.0,745.5772730139232,0,44734.63638083539,870.0,45604.63638083539
Bankstown City Unity Bank - e9358572-ae52-42f8-82a6-10eb45ccf5ba - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,860.0,37348.895812546325
Bankwest - b5510337-a63f-423f-b489-c91d66ab2298 - 36 to 84,11.99,667.1818406070696,0,40030.91043642418,675.0,40705.91043642418
Bendigo & Adelaide Bank - 94d77466-ab41-479e-b471-281fd1f2d61a - 12 to 84,7.79,605.2812251899591,0,36316.87351139754,450.0,36766.87351139754
Bendigo & Adelaide Bank - 93c58244-4d60-4abd-a84e-978248e26a43 - 12 to 84,12.79,679.3714960862188,0,40762.28976517313,450.0,41212.28976517313
Beyond Bank Australia - 530eff8e-c7b0-4f2c-b31e-a4a1153837da - 0 to 84,7.99,608.1482635424387,0,36488.895812546325,475.0,36963.895812546325
Beyond Bank Australia - 57bbe80c-81a9-4ff2-b299-3744dd2e822f - 0 to 84,5.69,575.6695133116904,0,34540.17079870142,175.0,34715.17079870142
Beyond Bank Australia - 2c47552d-bf29-4314-aa28-678e87ee31ab - 0 to 84,13.5,690.2953805066117,0,41417.7228303967,175.0,41592.7228303967
Beyond Bank Australia - 7b8ab6e6-dcfa-41a3-be2e-8a4189564303 - 0 to 84,8.39,613.906688592657,0,36834.401315559415,0.0,36834.401315559415
Beyond Bank Australia - 5fcdd467-5374-4bb1-8645-49cc944dc7e4 - 0 to 999,13.99,697.892004060831,0,41873.52024364986,175.0,42048.52024364986
Big Sky Building Society - fda972e6-92ed-4480-88a3-e0f98334971c - 12 to 96,9.13,624.6451552563876,0,37478.709315383254,0.0,37478.709315383254
Big Sky Building Society - 8668b9e9-a46b-4e66-a29b-0d07ec032a33 - 12 to 96,11.99,667.1818406070696,0,40030.91043642418,0.0,40030.91043642418
Bank of Queensland - 0403da88-26c6-455a-a9da-e0d70b06dc06 - 12 to 84,7.39,599.5715385537819,0,35974.29231322691,645.0,36619.29231322691
Bank of Queensland - 40dea09c-672b-4c09-b75b-62d65c10225a - 12 to 84,12.95,681.824572290852,0,40909.474337451116,600.0,41509.474337451116
Bank of Queensland - bc73f906-3c0c-4a93-b534-c65dfcefc0d4 - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,645.0,39772.38536995108
Bank of Queensland - 926957ee-3f26-4735-8186-f3931d6a9763 - 0 to 999,13.04,683.2066404086178,0,40992.398424517065,150.0,41142.398424517065
Circle Alliance Bank - 5808d0fb-8b9b-4a84-bfa9-5dd647cc9d75 - 12 to 84,7.9,606.8570910616432,0,36411.42546369859,150.0,36561.42546369859
Circle Alliance Bank - 7bef2b9b-c4b5-4d8c-8a53-54e15b25935d - 12 to 84,13.9,696.4931892552569,0,41789.59135531541,150.0,41939.59135531541
Coastline Credit Union - aa4c5446-e0ee-4424-ad73-7657778b7c83 - 12 to 84,5.29,570.131508492483,0,34207.89050954898,200.0,34407.89050954898
Coastline Credit Union - 1ce0891a-2a55-40b2-9367-9f8f2293c5ba - 12 to 84,7.69,603.850753232131,0,36231.04519392786,200.0,36431.04519392786
Coastline Credit Union - 485f4030-d436-44df-94eb-d3478af02d5f - 12 to 84,8.29,612.464041446966,0,36747.84248681796,200.0,36947.84248681796
Coastline Credit Union - e35668c2-4495-4eef-94e7-847e82a0235d - 12 to 84,9.19,625.5206890887113,0,37531.241345322676,200.0,37731.241345322676
Coastline Credit Union - de8ce673-e008-45c7-8490-eabb519f8383 - 0 to 999,7.75,604.7087925299785,0,36282.52755179871,200.0,36482.52755179871
Commonwealth Bank of Australia - a45aa80c-4f55-4b3b-8d72-0cb9df2ff0cd - 60 to 72,12.99,682.4386281975547,0,40946.317691853284,750.0,41696.317691853284
Community First Credit Union - 4ec34356-09e8-47ee-849d-ab4e52b919ee - 0 to 84,5.34,570.82196228262,0,34249.3177369572,495.0,34744.3177369572
Community First Credit Union - 0414d603-bf2b-4672-b5a0-931b813a9b9e - 0 to 84,13.49,690.1408363187633,0,41408.45017912579,195.0,41603.45017912579
Community First Credit Union - e2663f42-a90c-48bd-94ee-0928fabdaf64 - 60 to 120,8.1,609.7285958767668,0,36583.71575260601,195.0,36778.71575260601
CUA - baa9b78e-451b-49d4-a637-e6d714e1eba2 - 0 to 84,11.99,667.1818406070696,0,40030.91043642418,0.0,40030.91043642418
Defence Bank - a670008a-936e-47e2-b304-ee0b097eef7e - 0 to 84,6.59,588.2499497731004,0,35294.996986386024,750.0,36044.996986386024
Defence Bank - e869f268-5b93-4b7f-8543-c385cbe3a427 - 0 to 84,11.74,663.3985321646443,0,39803.91192987865,750.0,40553.91192987865
Defence Bank - a8f3a9fe-aa1b-49b7-b425-008c87a213fe - 0 to 999,15.35,719.2213179944258,0,43153.279079665546,0.0,43153.279079665546
Family First Credit Union - 97e7421c-fb57-4556-916b-70d5ee78e58f - 0 to 999,5.615,574.628635614419,0,34477.718136865136,75.0,34552.718136865136
Family First Credit Union - 01f3dd2a-4f97-414e-a5ca-2f26883e6cf2 - 0 to 84,7.99,608.1482635424387,0,36488.895812546325,175.0,36663.895812546325
FCCS Credit Union - dcd58e7e-763b-40fe-b5d7-af41003745e4 - 0 to 84,10.95,651.5248781998871,0,39091.492691993226,195.0,39286.492691993226
FCCS Credit Union - e0371b86-20c1-4bdc-93d1-5b2723c08bf2 - 0 to 84,7.95,607.5742060870604,0,36454.452365223624,195.0,36649.452365223624
First Option Credit Union - b3b0031f-ae14-4872-ae84-25a56835f588 - 1 to 360,4.99,565.9995764068882,0,33959.97458441329,0.0,33959.97458441329
First Option Credit Union - c2738694-e3dc-4897-9262-12722eeba724 - 12 to 84,13.99,697.892004060831,0,41873.52024364986,175.0,42048.52024364986
G&C Mutual Bank - 77e3fb43-7ecb-428a-9261-cc8844185641 - 0 to 84,5.99,579.8445599530695,0,34790.67359718417,150.0,34940.67359718417
G&C Mutual Bank - 12298463-528b-4bf3-9e13-5716ac6b32c6 - 0 to 84,8.99,622.6050674120427,0,37356.30404472256,150.0,37506.30404472256
G&C Mutual Bank - 0d8b921d-4229-4d86-b748-e8c6a2190966 - 0 to 84,16.99,745.415973977297,0,44724.95843863781,150.0,44874.95843863781
Greater Bank - a49ec21a-8ca3-4dfd-8599-0e047ea749f1 - 12 to 84,6.89,592.4802448000115,0,35548.81468800069,275.0,35823.81468800069
Greater Bank - 4e44a1d7-b0a0-41c1-baed-78bd5dcbfe2b - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,275.0,35065.67359718417
Heritage Bank - 5caaeb30-9fe7-4ff2-9cc9-033e775b8939 - 12 to 120,5.14,568.0632295775985,0,34083.79377465591,500.0,34583.79377465591
Holiday Coast Credit Union - 2fdda2b6-8eca-47ad-a2d5-bad1191a0efa - 12 to 84,6.49,586.8439373006976,0,35210.63623804186,200.0,35410.63623804186
Horizon Credit Union - f3e7d951-2013-4455-8d1f-32dbec755409 - 12 to 120,7.29,598.1492040940212,0,35888.952245641274,150.0,36038.952245641274
Hunter United - 31609fb0-3665-454c-b60d-b37c8fc25966 - 0 to 84,9.45,629.3230542090148,0,37759.383252540894,730.0,38489.383252540894
Illawarra Credit Union - 06cae1e6-796e-4dc0-aabb-5c92db8a86dc - 0 to 999,11.86,665.2129740940123,0,39912.77844564074,200.0,40112.77844564074
Latitude Financial Services - 0eeb9f81-09f0-4d99-b1ff-e4d44f11d28b - 24 to 84,21.99,828.3967998664871,0,49703.80799198922,,
Latitude Financial Services - a8183c43-78d4-4bde-af31-fcbdb1379a3d - 12 to 84,10.49,644.668407304655,0,38680.104438279304,895.0,39575.104438279304
Macquarie Credit Union - b3784fa2-925f-4e20-b787-d4b396a6db51 - 0 to 84,9.49,629.909242014204,0,37794.55452085224,140.0,37934.55452085224
Macquarie Credit Union - b8169b56-881c-42aa-a4e3-76523b712b2e - 0 to 84,13.95,697.2701134585361,0,41836.206807512164,140.0,41976.206807512164
ME Bank - 7be18247-1a67-4647-bab8-4206c5e82294 - 12 to 84,12.49,674.7855684167909,0,40487.13410500745,250.0,40737.13410500745
My Credit Union - 74172bdf-416e-4471-a440-e88b94bb0fe7 - 0 to 84,10.85,650.03074636101,0,39001.84478166059,100.0,39101.84478166059
My Credit Union - 8b678f03-4591-4799-89c3-74ebeab1d148 - 0 to 84,11.85,665.0616615425682,0,39903.699692554095,150.0,40053.699692554095
MyState - f4953f9a-3615-47e6-b293-16d4d449e700 - 0 to 120,9.49,629.909242014204,0,37794.55452085224,800.0,38594.55452085224
MyState - 7d7338fb-b9ce-4e0b-a8c1-147c8ee34cce - 0 to 84,9.99,637.2637391368502,0,38235.82434821101,800.0,39035.82434821101
MyState - c01622c0-6685-4fa4-8602-424faa2a9a2f - 0 to 999,7.83,605.8539829420607,0,36351.238976523644,295.0,36646.238976523644
NAB - 935354b6-810d-46aa-8221-469c7f55f4db - 12 to 84,15.69,724.6095444266471,0,43476.572665598826,750.0,44226.572665598826
NAB - 782081d4-9de4-4f6c-b51b-58b7a1062a14 - 0 to 999,12.77,679.0652158410235,0,40743.91295046141,350.0,41093.91295046141
Northern Beaches Credit Union - cfe3eb9a-07c5-4d87-93f0-82607cea07af - 60 to 120,8.1,609.7285958767668,0,36583.71575260601,195.0,36778.71575260601
Northern Beaches Credit Union - b0c1a375-c001-4353-9d2f-30dcb101ae31 - 0 to 999,5.17,568.4765153853874,0,34108.59092312324,195.0,34303.59092312324
Northern Inland CU - 449bc792-1d1f-4327-a856-22263be10da0 - 12 to 84,6.79,591.068104452781,0,35464.08626716686,680.0,36144.08626716686
Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,16.45,736.7340898917209,0,44204.04539350326,1175.0,45379.04539350326
Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,12.95,681.824572290852,0,40909.474337451116,1175.0,42084.474337451116
Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,14.95,712.910775993986,0,42774.646559639164,1175.0,43949.646559639164
NRMA Car Loans - dda07a49-985b-4268-a8d2-b8b4afd1def3 - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,380.0,35170.67359718417
People's Choice Credit Union - e14dbedb-ee6b-4573-9d05-4b968d882f9b - 12 to 84,13.99,697.892004060831,0,41873.52024364986,250.0,42123.52024364986
Police Bank - 8a865459-0b7f-487c-b590-b3d77aeecc08 - 12 to 84,9.99,637.2637391368502,0,38235.82434821101,98.0,38333.82434821101
Police Bank - 3a79a277-125e-4860-8403-c226cd1c9d90 - 12 to 84,6.49,586.8439373006976,0,35210.63623804186,98.0,35308.63623804186
QBANK - e23915a5-9b8c-48bd-b92c-b5f678ab5526 - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,150.0,39277.38536995108
Qudos Bank - 2a022c4d-6ccc-4714-b371-1888668f89dc - 0 to 84,7.09,595.3106467878177,0,35718.63880726907,150.0,35868.63880726907
Queenslanders Credit Union - 71cdb301-7baa-4a87-a661-bc48d7d93d04 - 12 to 84,8.69,618.2467783751194,0,37094.806702507165,150.0,37244.806702507165
Regional Australia Bank - 1d0e8933-13ec-4516-97a8-cb92a61456ff - 0 to 84,15.99,729.3823233561293,0,43762.93940136776,195.0,43957.93940136776
SCU - 991dc407-1a96-44c8-8c31-1262b0acacca - 1 to 84,7.95,607.5742060870604,0,36454.452365223624,100.0,36554.452365223624
Endeavour Mutual Bank - 59b359e6-bba1-46d1-b463-f26760d2c5f6 - 12 to 84,6.45,586.282104712112,0,35176.926282726716,150.0,35326.926282726716
Endeavour Mutual Bank - d18459c2-a0e6-4263-aec0-224912962797 - 0 to 999,10.99,652.1230894991846,0,39127.38536995108,50.0,39177.38536995108
Endeavour Mutual Bank - 32d03346-5885-40d7-9adc-f670264c81b0 - 0 to 84,15.99,729.3823233561293,0,43762.93940136776,150.0,43912.93940136776
SERVICE ONE Alliance Bank - d530eb8a-6e8d-4a6c-8413-af33618c2730 - 0 to 84,9.99,637.2637391368502,0,38235.82434821101,450.0,38685.82434821101
SERVICE ONE Alliance Bank - d11d0ada-5cdc-4839-8ddc-a2b1cc6e728b - 0 to 84,9.99,637.2637391368502,0,38235.82434821101,450.0,38685.82434821101
SERVICE ONE Alliance Bank - db56dbf7-c697-4b5d-ae09-53d37f0b2cf8 - 0 to 84,15.0,713.6979025907636,0,42821.87415544582,0.0,42821.87415544582
SERVICE ONE Alliance Bank - a7b6edeb-c318-412a-9c78-49038fa6f32b - 0 to 999,16.5,737.5356328896715,0,44252.13797338029,650.0,44902.13797338029
Southern Cross Credit Union - 491a0efb-8751-43f5-afba-5b4cc5620af6 - 12 to 84,7.29,598.1492040940212,0,35888.952245641274,125.0,36013.952245641274
Southern Cross Credit Union - cd11f063-9475-429b-aed0-7a0984c9c991 - 6 to 120,7.49,600.9959088989517,0,36059.7545339371,250.0,36309.7545339371
Summerland Credit Union - 91f9e454-cf13-422d-b101-0023da7d6f6f - 0 to 84,6.22,583.0579183081666,0,34983.47509848999,475.0,35458.47509848999
Summerland Credit Union - 2fbaac06-1ba1-4a53-9138-0016de6e3918 - 0 to 84,6.99,593.8944258963024,0,35633.66555377815,475.0,36108.66555377815
Summerland Credit Union - 211690f7-5405-496c-a839-4b67ef025d9c - 0 to 84,8.22,611.4553941720486,0,36687.32365032292,475.0,37162.32365032292
Suncorp Bank - b3fab533-474f-4747-a611-db6f8668cca7 - 0 to 84,10.99,652.1230894991846,0,39127.38536995108,475.0,39602.38536995108
Suncorp Bank - f88e983d-87df-49b2-bc8c-737c7879bf65 - 0 to 84,11.19,655.1189300888035,0,39307.13580532821,475.0,39782.13580532821
Teachers Mutual Bank - 8031b313-8e90-4e90-b793-173f43e86b71 - 0 to 72,9.95,636.6735310303976,0,38200.41186182386,100.0,38300.41186182386
Teachers Mutual Bank - d5c437d9-8fce-493f-b066-c6b892a12d6a - 0 to 999,12.64,677.076314750006,0,40624.57888500036,0.0,40624.57888500036
The Mac - aa21032f-ab74-419c-8984-501e576998d8 - 0 to 84,8.49,615.3513611934703,0,36921.08167160822,215.0,37136.08167160822
The Mac - de0b1a0f-a071-4fd2-9559-c64584c30aac - 0 to 84,12.49,674.7855684167909,0,40487.13410500745,150.0,40637.13410500745
Transport Mutual Credit Union - e07df198-f0fc-4276-974f-b0007f0d53c1 - 12 to 84,6.54,587.5466880352733,0,35252.8012821164,0.0,35252.8012821164
Transport Mutual Credit Union - 3f932f0b-49b3-412a-8bcc-a426e81b62e5 - 12 to 84,7.64,603.1362795096057,0,36188.17677057634,0.0,36188.17677057634
UniBank - f5956ce8-afef-41fe-9698-eed10faa4853 - 1 to 72,9.95,636.6735310303976,0,38200.41186182386,100.0,38300.41186182386
UniBank - 9aab253e-654e-457c-b513-269467e24b05 - 1 to 96,8.39,613.906688592657,0,36834.401315559415,100.0,36934.401315559415
Bank First - 29b712d5-bb1f-482f-a3ab-af00802f360e - 0 to 108,5.79,577.059145198275,0,34623.5487118965,150.0,34773.5487118965
Bank First - c8d266d5-c356-4655-bbdf-12b7db18d24a - 0 to 108,6.79,591.068104452781,0,35464.08626716686,150.0,35614.08626716686
Bank First - b8b89837-52f3-4895-a5b5-aab0e430698b - 0 to 108,5.29,570.131508492483,0,34207.89050954898,150.0,34357.89050954898
Bank First - 221ff0cc-46fa-44b4-af48-ed853c67b2c4 - 0 to 999,13.19,685.5136241003589,0,41130.81744602154,300.0,41430.81744602154
Woolworths Employees CU - ba7e80b4-c3b8-42f1-bb5f-7cd33c48441c - 6 to 72,9.64,632.1103140705563,0,37926.61884423338,100.0,38026.61884423338
CUA - f8f5be7f-aa42-4d0f-ad24-a938ab340815 - 1 to 84,10.89,650.6281596594766,0,39037.6895795686,0.0,39037.6895795686
Latitude Financial Services - 34ca5e81-0b76-45d3-92fb-6b651168f1e8 - 24 to 84,10.99,652.1230894991846,0,39127.38536995108,1030.0,40157.38536995108
MOVE - People Driven Banking - 0150549b-bbab-4ad9-86c9-3b88896b94d7 - 0 to 999,12.29,671.7381473458914,0,40304.288840753485,450.0,40754.288840753485
First Option Credit Union - 10bbe93a-21f5-4276-9c07-40ac1bee89ae - 1 to 84,13.99,697.892004060831,0,41873.52024364986,175.0,42048.52024364986
Credit Union SA - a5656385-a428-4a3e-ae7b-028ab8cf1daa - 12 to 84,13.6,691.8418991688783,0,41510.51395013269,195.0,41705.51395013269
Credit Union SA - 5e17306a-e19e-4c8e-ac93-ac2e01312691 - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,195.0,36683.895812546325
NRMA Car Loans - 56110683-67eb-4cb1-b202-45020092e733 - 12 to 84,7.49,600.9959088989517,0,36059.7545339371,,
Pepper - 2ffe4c51-a237-42a9-8dbe-4c1f9eeb437a - 12 to 84,15.864999999999998,727.3915653049899,0,43643.49391829939,0.0,43643.49391829939
CarLoans.com.au - 186c4908-c26e-44b2-909c-e427a344a04e - 12 to 84,8.495000000000001,615.4236479721126,0,36925.41887832675,818.4000000000001,37743.818878326754
360 Finance - 09685f95-5327-4f5a-b538-b15473988240 - 12 to 84,17.395,751.963763787602,0,45117.82582725612,,
Bankstown City Unity Bank - 3343ca18-5888-4c4d-afd1-dd22d6dad8b9 - 12 to 84,14.82,710.866511566695,0,42651.990694001695,,
Summerland Credit Union - 02990e80-2b83-4ed4-b4bc-9d3140ccb2b8 - 0 to 84,8.99,622.6050674120427,0,37356.30404472256,475.0,37831.30404472256
Queensland Country Credit Union - b3a6907d-a65f-42d5-a2cd-8821c65ee4b8 - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,420.0,35210.67359718417
The Mutual - ebed7289-b24f-42f2-ab15-ec282ceaa368 - 12 to 84,14.239999999999998,701.7858874434089,0,42107.15324660453,200.0,42307.15324660453
The Rock Building Society - e7d384e0-0754-43bb-8f52-0237592a0d20 - 12 to 120,6.99,593.8944258963024,0,35633.66555377815,0.0,35633.66555377815
Nexus Mutual - 10a15abe-56e1-4fba-b290-883056b7752d - 12 to 84,8.99,622.6050674120427,0,37356.30404472256,150.0,37506.30404472256
MOVE - People Driven Banking - 0d7b9f28-76cf-4d4d-bcd8-bec40fab0e72 - 0 to 84,8.97,622.3139492186676,0,37338.83695312006,150.0,37488.83695312006
Northern Beaches Credit Union - 189772a8-45e3-4420-a7aa-c0392d80aee6 - 12 to 120,7.109999999999999,595.5941356569595,0,35735.648139417564,195.0,35930.648139417564
People's Choice Credit Union - 7bcf1263-6bc2-4e36-b74e-3ee9d036d5d0 - 12 to 84,9.99,637.2637391368502,0,38235.82434821101,250.0,38485.82434821101
The Capricornian - d4102e8e-49ef-434e-8ea6-c0e5c80fa62f - 0 to 84,9.95,636.6735310303976,0,38200.41186182386,250.0,38450.41186182386
360 Finance - a18906f9-b008-4d0d-8a65-21e2e4e40c26 - 12 to 84,5.49,572.896404713345,0,34373.7842828007,759.0,35132.7842828007
ANZ - c9c5ce0f-50b7-413b-a278-afba694d554a - 12 to 84,15.99,729.3823233561293,0,43762.93940136776,750.0,44512.93940136776
ANZ - 5b893b89-455c-4d28-8856-af633d4ae35d - 0 to 999,12.7,677.993855360472,0,40679.63132162832,1100.0,41779.63132162832
Australian Military Bank - 1758705c-3faf-4552-a29b-9dfd63464c1f - 12 to 84,7.1850000000000005,596.6579451178548,0,35799.476707071284,750.0,36549.476707071284
Australian Military Bank - a5cf2623-fc25-4f25-91c5-33079487ce8c - 12 to 84,13.4,688.7508200921588,0,41325.04920552953,750.0,42075.04920552953
Auswide Bank - 92c507b6-d681-4283-af27-a858aefe0751 - 12 to 84,9.79,634.3159111548389,0,38058.95466929033,475.0,38533.95466929033
Auswide Bank - b9ae05a4-033a-4411-82f7-d814afe5c768 - 12 to 84,7.79,605.2812251899591,0,36316.87351139754,475.0,36791.87351139754
Auswide Bank - cd5f9844-effe-4092-99f9-24d234645334 - 12 to 84,11.79,664.1542025859321,0,39849.252155155926,475.0,40324.252155155926
