variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost
Auswide Bank - ac219bb5-1572-46cf-a59f-8c7c45f703c7 - 12 to 84,10.79,649.1352252158248,0,38948.11351294949,475.0,39423.11351294949
Bank of us - f48827f8-a6e3-47a4-ae76-6cfa79f32b20 - 6 to 84,9.99,637.2637391368502,0,38235.82434821101,800.0,39035.82434821101
Bank of us - 74cc27cd-61f9-4976-bacf-e0531de40659 - 6 to 84,5.99,579.8445599530695,0,34790.67359718417,800.0,35590.67359718417
Bank Australia - 9051216e-ace9-4855-b4ae-c5b51d65029b - 0 to 999,12.39,673.2608705114619,0,40395.652230687716,120.0,40515.652230687716
Bank Australia - 9d7114c4-b517-4dea-8072-963c3ff0467b - 0 to 120,7.89,606.7137289728743,0,36402.823738372455,150.0,36552.823738372455
Bank of Melbourne - 70a2f725-56ef-4511-84be-24abbd174d72 - 12 to 84,12.74,678.6059431674857,0,40716.356590049145,915.0,41631.356590049145
Bank of Melbourne - 14a0074f-b898-4692-a344-a5b604cfa9ea - 12 to 84,16.49,737.3752861061666,0,44242.51716637,915.0,45157.51716637
Bank of Melbourne - f1fa28f7-acce-480e-83e2-99a14ea5fc55 - 0 to 999,17.0,745.5772730139232,0,44734.63638083539,870.0,45604.63638083539
BankSA - 441893fe-242f-4d1f-90d6-e9968f92993a - 12 to 84,12.74,678.6059431674857,0,40716.356590049145,915.0,41631.356590049145
BankSA - a36813bb-ffd1-4ac5-834d-e67c111c7a64 - 12 to 84,16.49,737.3752861061666,0,44242.51716637,915.0,45157.51716637
Bankstown City Unity Bank - e0780f31-ca80-4907-9a05-2c457031f113 - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,,
Bankstown City Unity Bank - 06619aed-8023-4f72-81a8-4c16e596094a - 12 to 84,14.82,710.866511566695,0,42651.990694001695,,
BankVic - 41513992-652b-41a2-8d8d-0e48430072ac - 12 to 84,12.95,681.824572290852,0,40909.474337451116,90.0,40999.474337451116
BankVic - b0aa4fe1-3a74-4441-9bef-80212d93a5a5 - 12 to 84,12.95,681.824572290852,0,40909.474337451116,90.0,40999.474337451116
Bankwest - 6268f6b6-9b17-44fa-96cd-344caba8dd14 - 36 to 84,7.99,608.1482635424387,0,36488.895812546325,599.0,37087.895812546325
Bankwest - 32b5caae-5a62-4d6a-ac60-c9f6623447b6 - 12 to 84,14.49,705.6919376970284,0,42341.5162618217,849.0,43190.5162618217
Bendigo & Adelaide Bank - 21491a25-bca7-42ac-aaf0-edf4091ec45d - 12 to 84,6.79,591.068104452781,0,35464.08626716686,150.0,35614.08626716686
Bendigo & Adelaide Bank - ee7e2b05-83b0-4841-b2ad-637eba3008f9 - 12 to 84,11.79,664.1542025859321,0,39849.252155155926,150.0,39999.252155155926
Beyond Bank Australia - dc109f42-f5a5-4698-bca3-b273da5ad009 - 0 to 84,7.49,600.9959088989517,0,36059.7545339371,300.0,36359.7545339371
Beyond Bank Australia - 8f8a8a91-203e-4121-b238-196344468093 - 0 to 84,8.89,621.150284129563,0,37269.017047773785,0.0,37269.017047773785
Beyond Bank Australia - f1b1adeb-621f-487a-9391-a459c586955a - 0 to 84,13.45,689.5228554228029,0,41371.37132536817,175.0,41546.37132536817
Beyond Bank Australia - 879bb0fe-04cc-4e8a-b7ce-e01fc6d2dd7d - 0 to 84,13.0,682.5921913267243,0,40955.53147960346,0.0,40955.53147960346
Big Sky Building Society - ac91af80-1ddb-4712-9057-4fe28de1696d - 12 to 96,13.18,685.3596877246113,0,41121.58126347668,0.0,41121.58126347668
Bank of Queensland - a79aa1bf-54e8-493b-b4ab-ef263aa41e0e - 12 to 84,11.0,652.2726921792939,0,39136.36153075763,645.0,39781.36153075763
Bank of Queensland - e9fde59a-f0b1-4a71-bb7e-524c4600b58f - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,600.0,39727.38536995108
Bank of Queensland - 140eb44f-2f77-4a82-8005-b22c9f940bd2 - 12 to 84,9.54,630.642429668638,0,37838.54578011828,645.0,38483.54578011828
Bank of Queensland - cb857196-f5a0-4260-a221-ee5a5760ab38 - 0 to 999,6.86,592.0563883740551,0,35523.38330244331,495.0,36018.38330244331
Catalyst Money - 5955257a-ff77-4179-ae64-dbd535e489ac - 0 to 999,11.86,665.2129740940123,0,39912.77844564074,200.0,40112.77844564074
Circle Alliance Bank - 61f74a17-d8db-46d0-9691-af24ad248fcb - 12 to 84,11.2,655.2689313060118,0,39316.135878360714,150.0,39466.135878360714
Circle Alliance Bank - 734d9fb7-e8b6-45aa-83a4-bb2e08048e49 - 12 to 84,8.9,621.295671581345,0,37277.7402948807,150.0,37427.7402948807
Circle Alliance Bank - 1550c4dc-5995-4339-8a54-58743a0de38b - 12 to 84,14.5,705.8484324257465,0,42350.90594554479,150.0,42500.90594554479
Coastline Credit Union - ed9a147c-1a88-494d-bd48-45843319542c - 12 to 84,5.29,570.131508492483,0,34207.89050954898,200.0,34407.89050954898
Coastline Credit Union - 34806282-ff6e-472f-9b28-ec1651779bc3 - 12 to 84,9.09,624.0618694480403,0,37443.71216688242,200.0,37643.71216688242
Coastline Credit Union - a354b30b-9b11-46ef-aed2-6c17695414da - 12 to 84,6.49,586.8439373006976,0,35210.63623804186,200.0,35410.63623804186
Coastline Credit Union - dd13ec01-9264-4082-afb3-28a27288afa1 - 12 to 84,7.39,599.5715385537819,0,35974.29231322691,200.0,36174.29231322691
Coastline Credit Union - 80247d5b-5faf-4735-a6f1-7b77a2e07a16 - 12 to 84,11.29,656.619838178134,0,39397.19029068804,200.0,39597.19029068804
Coastline Credit Union - 83ea43a8-e520-47f2-9350-dcf28bcadd60 - 0 to 999,13.75,694.1653455175091,0,41649.920731050544,200.0,41849.920731050544
Commonwealth Bank of Australia - 006a040b-b4ab-4cab-a5ae-95f913fc7a32 - 0 to 84,15.899999999999999,727.9486753244913,0,43676.92051946948,750.0,44426.92051946948
Community First Credit Union - b341105f-8931-4e30-a6e7-a14bfeb6fa37 - 0 to 84,7.49,600.9959088989517,0,36059.7545339371,495.0,36554.7545339371
Community First Credit Union - a0345172-4dab-4a37-9af2-abcf8305651e - 0 to 999,5.22,569.1657361852721,0,34149.94417111632,195.0,34344.94417111632
Community First Credit Union - 8d3b4d98-2840-41d1-a505-02babb62bf11 - 60 to 120,8.1,609.7285958767668,0,36583.71575260601,195.0,36778.71575260601
Defence Bank - 700f06c2-3520-4c03-bed2-ec735a5dcaba - 0 to 84,6.59,588.2499497731004,0,35294.996986386024,750.0,36044.996986386024
Defence Bank - 1e442967-08c0-4858-8e86-28117c68ea1f - 0 to 84,13.99,697.892004060831,0,41873.52024364986,750.0,42623.52024364986
Esanda - 397995c3-8e49-4e62-9d1f-b2d633992f9f - 0 to 84,7.99,608.1482635424387,0,36488.895812546325,650.0,37138.895812546325
Family First Credit Union - d089177f-db40-4dad-a21c-d830b2529fcd - 0 to 999,5.6,574.4205985786402,0,34465.23591471842,75.0,34540.23591471842
Family First Credit Union - 24ff5669-de0b-4e36-803f-8acd37e51086 - 0 to 84,6.99,593.8944258963024,0,35633.66555377815,175.0,35808.66555377815
Family First Credit Union - 164767a9-505a-4446-a38b-18eb9bf653b2 - 0 to 84,5.99,579.8445599530695,0,34790.67359718417,175.0,34965.67359718417
FCCS Credit Union - c1c4ef9f-8be6-46b8-b37b-3b5f6ecaab27 - 0 to 84,6.95,593.3285086287354,0,35599.71051772413,195.0,35794.71051772413
First Option Credit Union - 11ca5892-725a-4971-9d86-b7ce4bb59ede - 1 to 84,6.99,593.8944258963024,0,35633.66555377815,175.0,35808.66555377815
G&C Mutual Bank - 2f6fc8ad-09a0-41d6-9a1a-b3115d509deb - 0 to 84,7.99,608.1482635424387,0,36488.895812546325,150.0,36638.895812546325
G&C Mutual Bank - b62dbcf0-de63-44bc-974c-60c989d48990 - 0 to 84,10.99,652.1230894991846,0,39127.38536995108,150.0,39277.38536995108
Gateway Bank - cfb56a9a-4fd3-40a8-803e-8431ee657a7e - 12 to 84,7.04,594.6022814276376,0,35676.136885658256,149.0,35825.136885658256
Heritage Bank - 56d1585c-9748-42d6-ac39-aeb21568f04b - 12 to 84,8.99,622.6050674120427,0,37356.30404472256,500.0,37856.30404472256
Holiday Coast Credit Union - d77bfbad-0010-4b4d-8ff4-1a79ec37184d - 12 to 84,5.49,572.896404713345,0,34373.7842828007,200.0,34573.7842828007
Holiday Coast Credit Union - 65a1bd66-3f64-406f-9e43-79c5c88965ab - 12 to 999,5.85,577.8939086771119,0,34673.634520626714,200.0,34873.634520626714
Holiday Coast Credit Union - ca2bdfd5-5a17-4985-b6b8-a9074447cf68 - 0 to 999,5.85,577.8939086771119,0,34673.634520626714,680.0,35353.634520626714
Horizon Credit Union - 037826e5-d7e9-4b43-b936-9d5665dbafb8 - 0 to 84,6.74,590.362799855521,0,35421.76799133126,100.0,35521.76799133126
Horizon Credit Union - d815249c-215f-4e02-bb2c-a77f0495745b - 0 to 84,6.74,590.362799855521,0,35421.76799133126,0.0,35421.76799133126
Hunter United - 9898887e-0b50-4f48-8cb2-429af3092c9c - 0 to 84,6.99,593.8944258963024,0,35633.66555377815,730.0,36363.66555377815
IMB Bank - 23abca81-27e0-4b51-a57d-1f0395a117db - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,250.0,35040.67359718417
Latitude Financial Services - b2be5743-6db5-41ab-a78e-c1343e5727d6 - 24 to 84,20.99,811.432045619771,0,48685.92273718626,,
Liberty Financial - a2c9ad87-37c2-4f34-b05a-7358a45f11f9 - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,195.0,36683.895812546325
Macquarie Credit Union - 35fa26da-1d83-4154-aa3f-8393a73d65d7 - 0 to 84,13.9,696.4931892552569,0,41789.59135531541,140.0,41929.59135531541
Macquarie Credit Union - 83825030-0e38-42f8-a009-315f1a31d041 - 0 to 84,10.7,647.7932913619891,0,38867.59748171934,140.0,39007.59748171934
My Credit Union - f5818e90-bdae-4e02-93bf-25680f9ae4b6 - 0 to 84,9.3,627.1277196445736,0,37627.66317867442,100.0,37727.66317867442
My Credit Union - 18468d8e-4e65-46f8-9186-10d4c2463d51 - 0 to 84,5.49,572.896404713345,0,34373.7842828007,195.0,34568.7842828007
My Credit Union - cc9e6124-914f-49d8-b789-ddc66c57abe3 - 0 to 84,12.85,680.2908093138491,0,40817.44855883095,100.0,40917.44855883095
MyState - fcf0293f-61e2-4ddc-9691-ac84d2ac4539 - 0 to 120,7.99,608.1482635424387,0,36488.895812546325,800.0,37288.895812546325
MyState - 82c004a9-a6d6-4908-b68c-699772d4e23e - 0 to 84,12.99,682.4386281975547,0,40946.317691853284,800.0,41746.317691853284
NAB - 4653c962-c91c-4961-a78e-641127ba0617 - 12 to 84,11.99,667.1818406070696,0,40030.91043642418,750.0,40780.91043642418
Newcastle Permanent - 4b5c85cf-e7cc-4d7b-af26-bfc8eb678fd0 - 12 to 84,6.69,589.6580057988706,0,35379.48034793223,250.0,35629.48034793223
Northern Beaches Credit Union - 2942c2ab-434e-4e8a-9ab0-50f2daef4fbc - 12 to 84,5.34,570.82196228262,0,34249.3177369572,595.0,34844.3177369572
Northern Beaches Credit Union - e41e5050-0424-4fdc-9c32-1a27f2b0df00 - 0 to 999,14.98,713.3829939084824,0,42802.97963450894,195.0,42997.97963450894
Now Finance - a1035c6e-d55d-4150-b4a9-03e863cf753c - 18 to 84,12.95,681.824572290852,0,40909.474337451116,1175.0,42084.474337451116
NRMA Car Loans - 671441cd-c61b-491c-a5ad-1fa8629b43f0 - 12 to 84,6.99,593.8944258963024,0,35633.66555377815,380.0,36013.66555377815
NRMA Car Loans - 35133b0b-75f5-4834-8014-7a8814ca351c - 12 to 84,7.49,600.9959088989517,0,36059.7545339371,380.0,36439.7545339371
People's Choice Credit Union - fc8f998c-87fb-4332-9ddd-b3e92c2e5945 - 12 to 120,7.99,608.1482635424387,0,36488.895812546325,250.0,36738.895812546325
People's Choice Credit Union - c7c4d2f0-dd2c-46f0-85a6-eeb2743f1004 - 12 to 120,5.64,574.975466609599,0,34498.52799657594,250.0,34748.52799657594
Police Bank - b3f3ca64-9575-4a23-b9d0-cf222f2c47aa - 12 to 84,12.76,678.9121052558077,0,40734.72631534846,98.0,40832.72631534846
Police Bank - 0ee7010f-f36a-40e7-9d76-1244904613b8 - 12 to 84,7.19,596.728906511317,0,35803.73439067902,98.0,35901.73439067902
Police Bank - 6b3efa56-538a-4b1f-ae28-8518080dc5f4 - 0 to 999,11.96,666.727189618821,0,40003.631377129255,205.0,40208.631377129255
Qudos Bank - 89000ee1-b6b5-43b0-8fad-fe0b3dde1987 - 0 to 84,8.59,616.798058155352,0,37007.88348932112,150.0,37157.88348932112
Queenslanders Credit Union - b9984c2d-d778-4d58-b52e-380ac896bd7a - 12 to 84,8.69,618.2467783751194,0,37094.806702507165,150.0,37244.806702507165
Queenslanders Credit Union - 0e488edb-12c8-48ce-8fc8-19a847fe4298 - 12 to 84,6.49,586.8439373006976,0,35210.63623804186,150.0,35360.63623804186
RACQ Bank - 9a67a242-82fe-45f8-a53d-80fac383aff6 - 12 to 84,6.17,582.3584406722608,0,34941.50644033565,395.0,35336.50644033565
SCU - a76010cc-baac-4c91-a8e1-ca4c5900a817 - 0 to 84,5.95,579.2868211330821,0,34757.20926798492,100.0,34857.20926798492
Endeavour Mutual Bank - 3ad9b760-9964-4d9a-a58c-5678b2bd5a61 - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,150.0,36638.895812546325
Endeavour Mutual Bank - d8c4336a-504a-4cad-875d-161bb1201cf6 - 0 to 84,10.99,652.1230894991846,0,39127.38536995108,150.0,39277.38536995108
Endeavour Mutual Bank - 0c285374-e4e6-4b31-bc7e-f110420b8d79 - 0 to 999,4.24,555.750786264556,0,33345.04717587336,150.0,33495.04717587336
SERVICE ONE Alliance Bank - 3c4af9c1-7f31-4ba8-a60e-7da349f7b7c8 - 0 to 84,6.79,591.068104452781,0,35464.08626716686,450.0,35914.08626716686
SERVICE ONE Alliance Bank - 0c041597-e071-461a-ab6c-a74a5a4bbd36 - 0 to 84,7.79,605.2812251899591,0,36316.87351139754,450.0,36766.87351139754
SERVICE ONE Alliance Bank - d6c4c90d-04e0-402c-9d24-0dc2627fbb71 - 0 to 84,9.99,637.2637391368502,0,38235.82434821101,450.0,38685.82434821101
St.George Bank - 2bce4531-aa98-4a4b-a295-a0c00cfde871 - 12 to 84,12.74,678.6059431674857,0,40716.356590049145,915.0,41631.356590049145
St.George Bank - 486eedf4-6dfc-4d68-8d1b-a278f871ef24 - 0 to 999,17.0,745.5772730139232,0,44734.63638083539,870.0,45604.63638083539
Summerland Credit Union - a54824fb-b3bd-40ff-b8ae-12f32f83a200 - 0 to 84,11.49,659.6276232298918,0,39577.65739379351,475.0,40052.65739379351
Summerland Credit Union - 14ba1a02-1234-4331-b177-31f60ced0853 - 0 to 84,8.05,609.0099586262982,0,36540.59751757789,130.0,36670.59751757789
Summerland Credit Union - 6b80b6c9-ff86-4a0a-a261-1856b9b0291d - 0 to 84,13.49,690.1408363187633,0,41408.45017912579,475.0,41883.45017912579
Summerland Credit Union - 7226d962-66c9-45b9-bd26-30841fbab155 - 0 to 84,10.05,638.1496533298636,0,38288.979199791815,130.0,38418.979199791815
Suncorp Bank - a6a51106-8ca6-41e1-a842-4df8b46f6424 - 1 to 84,5.99,579.8445599530695,0,34790.67359718417,475.0,35265.67359718417
Teachers Mutual Bank - db0a0e6d-17b3-4a6b-8d81-0a2be548e878 - 0 to 96,8.39,613.906688592657,0,36834.401315559415,100.0,36934.401315559415
Teachers Mutual Bank - 1bc7eea5-83dc-4efc-bbc9-df98bb07585e - 0 to 72,13.19,685.5136241003589,0,41130.81744602154,100.0,41230.81744602154
The Mac - d9aae18a-1261-4fd2-ace1-b12fd55bbd41 - 0 to 999,15.05,714.4855127878157,0,42869.130767268936,150.0,43019.130767268936
The Mac - 030f4fa4-4cda-4868-9527-e3313e9babae - 0 to 84,15.49,721.4373032105752,0,43286.23819263451,150.0,43436.23819263451
Transport Mutual Credit Union - dc5de83f-5ee4-4ef4-9fec-d0297c0ed216 - 12 to 84,13.25,686.437654522711,0,41186.25927136266,0.0,41186.25927136266
UniBank - 3d054c83-1b11-4ce4-98ba-7b004513addf - 1 to 72,13.19,685.5136241003589,0,41130.81744602154,100.0,41230.81744602154
Bank First - 9b990f3a-7543-42fe-ae42-9db22d8244ab - 0 to 108,9.35,627.8589942378982,0,37671.53965427389,150.0,37821.53965427389
Bank First - 4ed1ed10-408a-4e25-8482-fd1a95bddf0a - 0 to 108,11.74,663.3985321646443,0,39803.91192987865,150.0,39953.91192987865
Bank First - d2c52c03-596e-43ab-8ebd-c416cfdd611d - 0 to 108,8.79,619.6975207403575,0,37181.85124442145,150.0,37331.85124442145
Bank First - d22a16f3-9fa7-4254-a5f6-526d3a13077e - 0 to 108,9.79,634.3159111548389,0,38058.95466929033,150.0,38208.95466929033
Bank First - b0d31561-02e3-4e82-9162-caf72dc366f1 - 0 to 108,8.29,612.464041446966,0,36747.84248681796,150.0,36897.84248681796
Westpac - 35d129ac-51ea-460d-8008-099228f8eda1 - 12 to 84,8.49,615.3513611934703,0,36921.08167160822,970.0,37891.08167160822
Westpac - db70a38d-eff5-4fe9-9b19-2b4d08ec2078 - 12 to 84,12.99,682.4386281975547,0,40946.317691853284,970.0,41916.317691853284
Woolworths Employees CU - ef60bfe9-dec4-49cf-9f4e-c1024a20e3fa - 6 to 72,11.64,661.8886794391092,0,39713.32076634655,100.0,39813.32076634655
Woolworths Employees CU - 6bd86a26-28a7-4bde-96c8-de3c592da6b7 - 6 to 72,8.64,617.5221654273038,0,37051.32992563822,100.0,37151.32992563822
CUA - a7da4a9a-66b5-4038-ace0-a25d548603a8 - 1 to 84,10.99,652.1230894991846,0,39127.38536995108,0.0,39127.38536995108
CUA - fd3b6618-c5a8-4414-b2fb-6384533478a5 - 0 to 84,11.89,665.6670306781218,0,39940.0218406873,0.0,39940.0218406873
MOVE - People Driven Banking - 2aec7fc3-237f-4f5e-8949-91634e3763d2 - 1 to 84,10.69,647.644287476934,0,38858.657248616044,195.0,39053.657248616044
MOVE - People Driven Banking - fa7b41ef-95b6-42fe-b574-de4c66c32e4c - 1 to 84,13.74,694.0103122287233,0,41640.61873372339,150.0,41790.61873372339
CUA - 37b8064c-424c-4a0a-8fea-3dfc1e15fce6 - 0 to 84,6.79,591.068104452781,0,35464.08626716686,0.0,35464.08626716686
QBANK - 887f5bed-d46d-4b10-9ef4-15b1933dcb62 - 0 to 84,8.49,615.3513611934703,0,36921.08167160822,180.0,37101.08167160822
Credit Union SA - e9ac59b3-19d3-4e90-ab76-d53951c3db74 - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,195.0,34985.67359718417
Hunter United - 744a0bf6-aeec-452d-af48-268e40d6a38e - 0 to 84,9.45,629.3230542090148,0,37759.383252540894,730.0,38489.383252540894
Pepper - 60ac8642-1ac6-4d43-9403-dc7ea7d392d4 - 12 to 84,9.99,637.2637391368502,0,38235.82434821101,770.0,39005.82434821101
CarLoans.com.au - 8a99a912-1c92-4183-8cf9-bd83010b70d3 - 12 to 84,9.2,625.6666819765286,0,37540.000918591715,818.4000000000001,38358.40091859172
QBANK - ab7e29f4-619c-4ad0-ab0c-922424c6445b - 0 to 84,6.99,593.8944258963024,0,35633.66555377815,180.0,35813.66555377815
Bankstown City Unity Bank - 6c44e15e-82a1-4d46-b2a6-8377cd74a63c - 0 to 84,17.995,761.721225459876,0,45703.273527592566,,
Liberty Financial - 93926824-6d21-47ca-a142-f4c263a1bf32 - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,,
MOVE - People Driven Banking - 37161146-6a72-4246-a466-aa844bb0e061 - 1 to 84,5.39,571.5129296497797,0,34290.77577898678,195.0,34485.77577898678
Queensland Country Credit Union - 9152a7bc-6c88-4ce6-9306-16bf5a6f8133 - 12 to 84,9.75,633.727309715017,0,38023.63858290102,720.0,38743.63858290102
St.George Bank - 73c52acd-b0ab-4e34-878e-49918375b9b6 - 12 to 84,16.49,737.3752861061666,0,44242.51716637,915.0,45157.51716637
The Mutual - f718a2ba-829c-4917-a9cd-94420483fbcc - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,200.0,39327.38536995108
The Mutual - f718a2ba-829c-4917-a9cd-94420483fbcc - 12 to 84,10.49,644.668407304655,0,38680.104438279304,200.0,38880.104438279304
QBANK - 4e592bb2-e9bf-45fe-8c19-3bb343cd2115 - 12 to 84,12.49,674.7855684167909,0,40487.13410500745,150.0,40637.13410500745
The Rock Building Society - 36bfe270-c481-4d18-a709-96981dbff6f1 - 12 to 120,8.49,615.3513611934703,0,36921.08167160822,0.0,36921.08167160822
Nexus Mutual - d767ad66-686c-4c21-854c-fa723b0d66e1 - 12 to 84,7.49,600.9959088989517,0,36059.7545339371,200.0,36259.7545339371
Northern Inland CU - d06e9870-1338-444a-a72d-3c2866f3ebb1 - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,680.0,35470.67359718417
Stratton - 2b417ebc-53f3-41bd-99df-946c3e656bed - 12 to 84,8.49,615.3513611934703,0,36921.08167160822,934.0,37855.08167160822
Community First Credit Union - af7a3164-08fe-4ed2-ba67-c68ef55acee1 - 12 to 120,7.109999999999999,595.5941356569595,0,35735.648139417564,195.0,35930.648139417564
Queensland Country Credit Union - b7a5837e-086a-4a67-8ede-1d7a6016bbe7 - 12 to 84,6.79,591.068104452781,0,35464.08626716686,720.0,36184.08626716686
The Capricornian - c5b9052c-25a1-4f64-88e8-210690d47478 - 0 to 84,5.95,579.2868211330821,0,34757.20926798492,250.0,35007.20926798492
